Image; Model; Series; Yen Price; Release Date; Notes;Type
HGUC Zaku III Custom (Twilight Axis).jpg;AMX-011S Zaku III Custom (Twilight Axis Ver.);Mobile Suit Gundam Twilight Axis;¥1,900;2017 June;P-Bandai exclusive color variant of HGUC-003 with HGUC-014's backpack. Includes HGUC-014's beam rifle and HGUC-091/092's beam machine guns. Uses the H plate runner of HGUC-014 and the D plate runner of HGUC-091/092., ;HGUC
HGUC GM Sniper.jpg;RGM-79[G] GM Sniper;Mobile Suit Gundam: The 08th MS Team;¥1,500;2017 July;P-Bandai exclusive color variant of HGUC-202. Replaces net gun and rocket launcher with 6-tube missile launcher and long range beam rifle., ;HGUC
HGUC Jegan D Type (Camouflage Ver.).jpg;RGM-89D Jegan Type-D [Camouflage Ver.];Mobile Suit Gundam Unicorn;¥1,800;2017 July;P-Bandai exclusive color variant of Jegan D Type. Includes additional water slide decal sheet., ;HGUC
HG Gundam Revive Metallic Injection Ver.jpg;RX-78-2 Gundam [Metallic Gloss Injection];Mobile Suit Gundam;¥1,200;2017 August;The Gundam Base Tokyo exclusive metallic gloss injection color variant of HGUC-191., ;HGUC
HGUC Byarlant Isolde.jpg;RX-160G Byarlant Isolde;Mobile Suit Gundam Twilight Axis;¥2,800;2017 August;P-Bandai exclusive parts and color variant of HGUC-147., ;HGUC
HGUC Pale Rider Space Type.jpg;RX-80PR Pale Rider (Space Type);Mobile Suit Gundam Side Story: Missing Link;¥2,000;2017 August;P-Bandai exclusive parts variant of HGUC RX-80PR Pale Rider (Ground Heavy Equipment Type)., ;HGUC
HG Unicorn Gundam Head Display Base (Metallic Ver.).jpg;RX-0 Unicorn Gundam Head Display Base (Metallic Ver.);Mobile Suit Gundam Unicorn;¥1,100;2017 August;''Gundam ACE'' exclusive pearl color variant of the 1/48 scale transformable RX-0 Unicorn Gundam head display base originally offered with the January 2010 issue of ''Dengeki Hobby''. Compatible with HGUC-100/101 and RG-25., ;HGUC
Gunpla_HGUC_EfreetCustom_box.jpg;MS-08TX[EXAM] Efreet Custom;Mobile Suit Gundam Side Story: The Blue Destiny;¥1,800;2017 September;P-Bandai exclusive parts and color variant of HGUC-206., ;HGUC
HG RX-78-2 CoCoICHI Extra Finish Ver.jpg;RX-78-2 Gundam CoCoICHI Extra Finish Ver.;Mobile Suit Gundam;N/A;2017 September;Curry House Coco Ichibanya x Gunpla campaign exclusive metallic color variant of HGUC-191 with spoon weapon and additional marking sheet. Limited to 1,000 units., ;HGUC
HGUC Unicorn Gundam -Destroy Mode- (Metallic Gloss Injection).jpg;RX-0 Unicorn Gundam (Destroy Mode) [Metallic Gloss Injection];Mobile Suit Gundam Unicorn;¥2,000;2017 October;The Gundam Base Tokyo exclusive metallic gloss injection color variant of HGUC-100. Includes The Gundam Base Tokyo display base., ;HGUC
HGUC Unicorn Gundam -Unicorn Mode- (Metallic Gloss Injection).jpg;RX-0 Unicorn Gundam (Unicorn Mode) [Metallic Gloss Injection];Mobile Suit Gundam Unicorn;¥1,700;2017 October;The Gundam Base Tokyo exclusive metallic gloss injection color variant of HGUC-101. Includes The Gundam Base Tokyo display base., ;HGUC
HG Zeta Gundam (Wave Shooter).jpg;MSZ-006 Zeta Gundam (Wave Shooter);Mobile Suit Zeta Gundam;¥2,000;2017 October;P-Bandai exclusive re-release of HGUC-203 with new Wave Shooter parts as an homage to HG-02. Some parts of the A, D, and E plate runners have been omitted for this release and replaced with new I plate runner. Transforms via parts-swapping. ;HGUC
HGCE Strike Freedom Gundam Wing of Light DX Edition.jpg;"ZGMF-X20A Strike Freedom Gundam ""Wings of Light"" DX Edition";Mobile Suit Gundam SEED Destiny;¥3,800;2017 October;P-Bandai exclusive re-release of HGCE-201 with partial metallic inner frame, clear black BA-3 display base and effect parts for Wings of Light and beams., ;HGUC
HG Gundam Ver.TMDC.jpg;RX-78-2 Gundam Ver. T.M.D.C.;Mobile Suit Gundam;NT$580;2017 October;Gundam Docks at Taiwan/Uni-President Department Store exclusive color variant of HGUC-191. Includes additional sticker sheet., ;HGUC
HG Gundam & Zaku II docks at Taiwan.jpg;RX-78-2 Gundam / MS-06S Zaku II Ver. GUNDAM docks at TAIWAN;Mobile Suit Gundam;NT$1,180;2017 October;Gundam Docks at Taiwan/Uni-President Department Store exclusive twin pack containing HGUC-191 and HGUC-032 with additional display bases., ;HGUC
HGUC Pico Altidore's Jegan Type D.jpg;RGM-89D Piko Altidore's Jegan Type-D;Mobile Suit Gundam U.C. 0094: Across the Sky;¥1,600;2017 November;P-Bandai exclusive color variant of Jegan D Type. Includes a new left trigger hand and a second beam rifle, ;HGUC
HGUC Jegan (BirnamType).jpg;RGM-89 Jegan (Birnam Type) ;Mobile Suit Gundam Twilight Axis;¥1,800;2017 November;P-Bandai exclusive color variant of HGUC-097 with sensor eye parts and new beam rifle with removable beam lance., ;HGUC
HGCC Freedom Gundam (Clear Color).jpg;ZGMF-X10A Freedom Gundam [Clear Color];Mobile Suit Gundam SEED;¥2,000;2017 November;The Gundam Base Tokyo exclusive clear color variant of HGCE-192. Includes clear blue BA-G display base., ;HGUC
HGUC Strike Freedom Gundam (Revive Clear Color Ver.).jpg;ZGMF-X20A Strike Freedom Gundam [Clear Color];Mobile Suit Gundam SEED Destiny;¥2,000;2017 November;Gunpla Expo Osaka 2017 exclusive clear color variant of HGCE-201., ;HGUC
HGUC Zeta Gundam (Evolution Clear Color Ver.).jpg;MSZ-006 Zeta Gundam [Clear Color];Mobile Suit Zeta Gundam;¥1,800;2017 November;Gunpla Expo Osaka 2017 exclusive clear color variant of HGUC-203., ;HGUC
HGUC Barzam (Clear Color Ver.).jpg;RMS-154 Barzam [Clear Color];Mobile Suit Zeta Gundam;¥1,500;2017 December;Gunpla Expo Japan 2017 [Fukuoka] exclusive clear color variant of HGUC-204., ;HGUC
HG RX-78-2 Gold Coating.jpg;RX-78-2 Gundam [Gold Coating];Mobile Suit Gundam;N/A;2017;The Gundam Base Tokyo exclusive gold chrome plated variant of HGUC-191, offered as a prize item exclusively for The Gundam Base Tokyo Membership Card holders with 300 points., ;HGUC
HGUC Zeta Gundam III.jpg;MSZ-006-3 Zeta Gundam III;Gundam Neo Experience 0087: Green Divers;¥2,200;2018 January;The Gundam Base Tokyo exclusive color variant of HGUC-203. Includes additional marking sheet and gray BA-G display base., ;HGUC
HGUC-Gyan Krieger.jpg;MS-15Kg Gyan Krieger;Mobile Suit Gundam Gihren's Greed;¥1,800;2018 January;P-Bandai exclusive release. Uses the B1 and B2 plate runners of HGUC-197., ;HGUC
HGUC EWAC Jegan.jpg;RGM-89DEW EWAC Jegan;Mobile Suit Gundam Unicorn;¥3,000;2018 February;P-Bandai exclusive parts and color variant of HGUC-097., ;HGUC
HGUC Unicorn Gundam (Luminous Crystal Body).jpg;RX-0 Unicorn Gundam (Luminous Crystal Body);Mobile Suit Gundam Unicorn;¥3,000;2018 February;The Gundam Base Tokyo and The Gundam Base Online Shop exclusive pearl color variant of HGUC-100 with green psychoframe, open hands, and sparkle green psychoframe parts to create final form in Over the Rainbow, episode 7 of the OVA. Includes space color variant of Action Base 5. ;HGUC
HGUC Crossbone Gundam X-0.jpg;XM-X0 Crossbone Gundam X-0;Mobile Suit Crossbone Gundam: Ghost;¥2,300;2018 April;P-Bandai exclusive parts and color variant of HGUC-187., ;HGUC
HGUC EfreetNacht.jpg;MS-08TX/N Efreet Nacht;Mobile Suit Gundam: Battlefield Record U.C. 0081;¥2,300;2018 April;P-Bandai exclusive parts and color variant of HGUC-206., ;HGUC
HGUC Gouf Flight Type.jpg;MS-07H-8 Gouf Flight Type;Mobile Suit Gundam: The 08th MS Team;¥2,100;2018 May;P-Bandai exclusive parts and color variant of HGUC-117., ;HGUC
HGUC Unicorn Gundam (Destroy Mode) -Painting Model-.jpg;RX-0 Unicorn Gundam (Destroy Mode) [Painting Model];Mobile Suit Gundam Unicorn;¥2,300;2018 June;The Gundam Base Tokyo exclusive color variant of HGUC-100 with transparent psychoframe. Includes two units of the F plate runner of HGUC RX-0 Unicorn Gundam 03 Phenex (Destroy Mode) Ver.GFT, and optional antenna parts from both HGUC-134 and HGUC RX-0 Unicorn Gundam 03 Phenex (Destroy Mode)., ;HGUC
HGUC Gundam TR-6 (Woundwort).jpg;RX-124 Gundam TR-6 [Woundwort];Advance of Zeta: The Flag of Titans;¥1,800;2018 June;P-Bandai exclusive release. Transforms via parts-swapping. Includes two BA-0 display bases and adapter for Action Base., ;HGUC
HGUC Gundam Pixy.jpg;RX-78XX Gundam Pixy;Mobile Suit Gundam: Cross Dimension 0079;¥2,000;2018 June;P-Bandai exclusive release. Includes slash effect parts for beam daggers. Uses the C1 and C2 plate runners of HGUC-202., ;HGUC
HGUC ReGelgu.jpg;MS-14J ReGelgu;Mobile Suit Gundam ZZ;¥2,000;2018 July;P-Bandai exclusive parts and color variant of HGUC-076, with D plate runner molded in PS instead of ABS., ;HGUC
HGUC Efreet.jpg;MS-08TX Efreet;Mobile Suit Gundam: Cross Dimension 0079;¥2,000;2018 July;P-Bandai exclusive parts and color variant of HGUC-206., ;HGUC
HGUC Gundam Ground Type (Parachute Pack).jpg;RX-79[G] Gundam Ground Type (Parachute Pack);Mobile Suit Gundam: The 08th MS Team;¥2,000;2018 August;P-Bandai exclusive re-release of HGUC-210 with parachute pack, a 6-tube missile launcher, and parts from HGUC-202 that include rocket launcher and net gun. Includes a newly molded optional RGM-79[G] GM Ground Type head., ;HGUC
HG Long Rifle.jpg;Long Rifle;Mobile Suit Moon Gundam;N/A;2018 September;''Gundam ACE'' November 2018 issue exclusive accessory kit for HGUC-215 and RG-29. Includes additional hand parts for RG-29. Re-released in March 2020 with ''Mobile Suit Gundam Shinyaku MS Daizenshuu U.C.0092-0169 Hen Special Edition''., ;HGUC
HGUC ν Gundam vs Sazabi (The Fateful Battle Set) -Special Coating-.jpg;ν Gundam vs Sazabi (The Fateful Battle Set) [Special Coating];Mobile Suit Gundam: Char's Counterattack;¥10,000;2018 September;The Gundam Base Tokyo exclusive twin pack containing metallic color variants of HGUC-086 and HGUC-088. Includes custom Action Base., ;HGUC
HGUC Shin Matsunaga's Gelgoog Jäger.jpg;MS-14JG Shin Matsunaga's Gelgoog Jäger;MSV-R;¥1,500;2018 September;P-Bandai exclusive color variant of HGUC-045., ;HGUC
HGUC Johnny Ridden's Gelgoog.jpg;MS-14B Johnny Ridden's Gelgoog;Mobile Suit Variations;¥2,000;2018 September;P-Bandai exclusive parts and color variant of HGUC-070., ;HGUC
HGUC Unicorn Gundam Perfectibility (Destroy Mode).jpg;RX-0 Unicorn Gundam Perfectibility (Destroy Mode);Mobile Suit Gundam UC Perfectibility;¥3,400;2018 September;The Gundam Base Tokyo exclusive enhanced version of HGUC-100 with blue psychoframe. Uses the F plate runner of HGUC-134, the A1/A2 and B (clear) plate runners of HGUC-199, and the F and H1 plate runners of HGUC-213., ;HGUC
HGAC Leo (Space Type).jpg;OZ-06MS Leo (Space Type);Mobile Suit Gundam Wing;¥1,400;2018 October;P-Bandai exclusive color variant of HGAC-211 with additional parts., ;HGUC
HGUC Byarlant -Clear Color-.jpg;RX-160 Byarlant [Clear Color];Mobile Suit Zeta Gundam;¥2,600;2018 October;The Gundam Base Tokyo exclusive clear color variant of HGUC-214., ;HGUC
HGUC Unicorn Gundam 03 Phenex (Destroy Mode) (Narrative Ver.) -Clear Color-.jpg;RX-0 Unicorn Gundam 03 Phenex (Destroy Mode) (Narrative Ver.) [Clear Color] Limited Package;Mobile Suit Gundam Narrative;¥2,870;2018 November;Theater and The Gundam Base Tokyo exclusive clear color variant of HGUC-213 with limited first press release box cover. Released for the theatrical premiere of ''Gundam Narrative''., ;HGUC
HGUC Sinanju Stein (Narrative Ver.) -Clear Color-.jpg;MSN-06S-2 Sinanju Stein (Narrative Ver.) [Clear Color] Limited Package;Mobile Suit Gundam Narrative;¥2,685;2018 November;Theater and The Gundam Base Tokyo exclusive clear color variant of HGUC-217 with limited first press release box cover. Released for the theatrical premiere of ''Gundam Narrative''., ;HGUC
N/A;RX-0 Unicorn Gundam 03 Phenex (Destroy Mode) (Narrative Ver.) [Clear Color];Mobile Suit Gundam Narrative;¥2,870;2018 November;Theater and The Gundam Base Tokyo exclusive clear color variant of HGUC-213. Released for the theatrical premiere of ''Gundam Narrative''., ;HGUC
N/A;MSN-06S-2 Sinanju Stein (Narrative Ver.) [Clear Color];Mobile Suit Gundam Narrative;¥2,685;2018 November;Theater and The Gundam Base Tokyo exclusive clear color variant of HGUC-217. Released for the theatrical premiere of ''Gundam Narrative''., ;HGUC
HGUC Hyaku Shiki -Gold Coating-.jpg;MSN-00100 Hyaku Shiki [Gold Coating];Mobile Suit Zeta Gundam;¥4,000;2018 November;The Gundam Base Tokyo and The Gundam Base Online Shop exclusive gold chrome plated variant of HGUC-200., ;HGUC
HGUC Jesta (Shezarr Type, Team A).jpg;RGM-96Xs Jesta (Shezarr Type, Team A);Mobile Suit Gundam Narrative;¥2,800;2018 November;P-Bandai exclusive parts and color variant of HGUC-130., ;HGUC
HGUC Jesta (Shezarr Type, Team B&C).jpg;RGM-96Xs Jesta (Shezarr Type, Team B & C);Mobile Suit Gundam Narrative;¥2,300;2018 November;P-Bandai exclusive parts and color variant of HGUC-130., ;HGUC
HGUC Galbaldy ß -Clear Color-.jpg;RMS-117 Galbaldy ß [Clear Color];Mobile Suit Zeta Gundam;¥1,500;2018 December;The Gundam Base Tokyo exclusive clear color variant of HGUC-212., ;HGUC
HGUC-BlueDestinyUnit1EXAM-MetallicGloss.jpg;"RX-79BD-1 Blue Destiny Unit 1 ""EXAM"" [Metallic Gloss Injection]";Mobile Suit Gundam Side Story: The Blue Destiny;¥1,600;2019 January;The Gundam Base Tokyo exclusive metallic gloss injection color variant of HGUC-207., ;HGUC
HGUC Jegan Type D Escort Type.jpg;RGM-89D-ESC Jegan Type D Escort Type;Mobile Suit Gundam Narrative;¥1,800;2019 January;P-Bandai exclusive parts and color variant of HGUC RGM-89D Jegan D Type., ;HGUC
HGAC Leo (Flight Unit Type).jpg;OZ-06MS Leo (Flight Unit Type);Mobile Suit Gundam Wing;¥1,700;2019 January;P-Bandai exclusive color variant of HGAC-211 with additional parts., ;HGUC
HGUC Gazu RL.jpg;AMX-117R Gaz-R / AMX-117L Gaz-L;Mobile Suit Gundam ZZ;¥3,600;2019 January;P-Bandai exclusive twin pack containing parts and color variants of HGUC-212., ;HGUC
HGUC Efreet Custom -Metallic Gloss Injection-.jpg;MS-08TX[EXAM] Efreet Custom [Metallic Gloss Injection];Mobile Suit Gundam Side Story: The Blue Destiny;¥2,000;2019 February;The Gundam Base Tokyo exclusive metallic gloss injection color variant of HGUC MS-08TX[EXAM] Efreet Custom., ;HGUC
HGUC Blue Destiny Unit 2 EXAM -Metallic Gloss Injection-.jpg;"RX-79BD-2 Blue Destiny Unit 2 ""EXAM"" [Metallic Gloss Injection]";Mobile Suit Gundam Side Story: The Blue Destiny;¥1,600;2019 February;The Gundam Base Tokyo exclusive metallic gloss injection color variant of HGUC-208., ;HGUC
HGUC Blue Destiny Unit 3 EXAM -Metallic Gloss Injection-.jpg;"RX-79BD-3 Blue Destiny Unit 3 ""EXAM"" [Metallic Gloss Injection]";Mobile Suit Gundam Side Story: The Blue Destiny;¥1,600;2019 February;The Gundam Base Tokyo exclusive metallic gloss injection color variant of HGUC-209., ;HGUC
HGUC ReGelgu (Unicorn Ver.).jpg;MS-14J ReGelgu (Unicorn Ver.);Mobile Suit Gundam Unicorn;¥2,200;2019 March;"P-Bandai exclusive color variant of HGUC MS-14J ReGelgu with new ""Sleeves"" parts. Includes Beam Machine Gun of HGUC-091 and Beam Naginata., ";HGUC
HGUC Gundam TR-6 -Hazel II-.jpg;RX-124 Gundam TR-6 [Hazel II];Advance of Zeta: The Flag of Titans;¥2,400;2019 March;P-Bandai exclusive parts and color variant of HGUC RX-124 Gundam TR-6 [Woundwort]., ;HGUC
HGUC Sinanju Stein (Narrative Ver.) -Extra Finish-.jpg;MSN-06S-2 Sinanju Stein (Narrative Ver.) [Extra Finish];Mobile Suit Gundam Narrative;¥4,800;2019 March;The Gundam Base Tokyo exclusive metallic color variant of HGUC-217., ;HGUC
HGUC Narrative Gundam C-Packs -Clear Color-.jpg;RX-9/C Narrative Gundam C-Packs [Clear Color] ;Mobile Suit Gundam Narrative;¥2,300;2019 April;The Gundam Base Tokyo exclusive clear color variant of HGUC-222., ;HGUC
HGUC Unicorn Gundam 03 Phenex (Destroy Mode) (Narrative Ver.) (Final Battle Ver.).jpg;RX-0 Unicorn Gundam 03 Phenex (Destroy Mode) (Narrative Ver.) (Final Battle Ver.);Mobile Suit Gundam Narrative;¥2,800;2019 April;The Gundam Base Tokyo exclusive color variant of HGUC-213 with green psychoframe., ;HGUC
HGUC Sinanju Stein (Narrative Ver.) -Clear Color- -Limited Item-.jpg;MSN-06S-2 Sinanju Stein (Narrative Ver.) [Clear Color];Mobile Suit Gundam Narrative;¥2,600;2019 April;The Gundam Base Tokyo exclusive clear color variant of HGUC-217., ;HGUC
HGUC Gundam Marines Ver.jpg;RX-78-2 Gundam Marines Ver.;Mobile Suit Gundam;¥2,778;2019 April;Chiba Lotte Marines Online Store exclusive color variant of HGUC-191. Limited to 3000 units. Released as part of the Gundam 40th anniversary celebration., ;HGUC
HGUC Zaku II Marines Ver.jpg;MS-06S Zaku II Marines Ver.;Mobile Suit Gundam;¥2,778;2019 April;Chiba Lotte Marines Online Store exclusive color variant of HGUC-032. Limited to 3000 units. Released as part of the Gundam 40th anniversary celebration., ;HGUC
HGUC Gundam Buffaloes Ver.jpg;RX-78-2 Gundam Buffaloes Ver.;Mobile Suit Gundam;¥2,778;2019 April;Orix Buffaloes (Osaka/Kobe) B-WAVE and Bs SHOP exclusive color variant of HGUC-191  Limited to 3000 units. Released as part of the Gundam 40th anniversary celebration., ;HGUC
HGUC Gundam Lions Ver.jpg;RX-78-2 Gundam Lions Ver.;Mobile Suit Gundam;¥2,778;2019 April;Saitama Seibu Lions Online Store and Mobile Suit Gundam Day event exclusive color variant of HGUC-191. Limited to 3000 units. Released as part of the Gundam 40th anniversary celebration., ;HGUC
HGUC Gundam Carp Ver.jpg;RX-78-2 Gundam Carp Ver.;Mobile Suit Gundam;¥2,778;2019 April;Hiroshima Toyo Carp exclusive color variant of HGUC-191. Limited to 3000 units. Released as part of the Gundam 40th anniversary celebration., ;HGUC
HGUC B-Packs Expansion Set.jpg;B-Packs Expansion Set for RX-9 Narrative Gundam;Mobile Suit Gundam Narrative;¥1,300;2019 April;P-Bandai exclusive accessory kit to convert HGUC-218 into RX-9/B Narrative Gundam B-Packs., ;HGUC
HGUC Gundam Ver.HotSix.jpg;RX-78-2 Gundam Ver.HotSix;Mobile Suit Gundam;₩20,000;2019 May;CU exclusive color variant of HGUC-191., ;HGUC
HGUC Dijeh (Narrative Ver.).jpg;MSK-008 Dijeh (Narrative Ver.);Mobile Suit Gundam Narrative;¥2,000;2019 May;P-Bandai exclusive color variant of HGUC-219 with search light shoulder piece and alternate beam rifle., ;HGUC
HGUC Gundam Swallows Ver.jpg;RX-78-2 Gundam Swallows Ver.;Mobile Suit Gundam;¥2,778;2019 May;Tokyo Yakult Swallows exclusive color variant of HGUC-191. Limited to 3000 units. Released as part of the Gundam 40th anniversary celebration., ;HGUC
HGUC Zaku II Buffaloes Ver.jpg;MS-06S Zaku II Buffaloes Ver.;Mobile Suit Gundam;¥2,778;2019 May;Orix Buffaloes (Osaka/Kobe) B-WAVE and Bs SHOP exclusive color variant of HGUC-032  Limited to 3000 units. Released as part of the Gundam 40th anniversary celebration., ;HGUC
HGUC Gundam BAYSTARS Ver.jpg;RX-78-2 Gundam BAYSTARS Ver.;Mobile Suit Gundam;¥2,778;2019 May;Yokohama DeNA BayStars exclusive color variant of HGUC-191. Limited to 3000 units. Released as part of the Gundam 40th anniversary celebration., ;HGUC
HGUC Zaku II BAYSTARS Ver.jpg;MS-06S Zaku II BAYSTARS Ver.;Mobile Suit Gundam;¥2,778;2019 May;Yokohama DeNA BayStars exclusive color variant of HGUC-032. Limited to 3000 units. Released as part of the Gundam 40th anniversary celebration., ;HGUC
HGUC Zaku II Carp Ver.jpg;MS-06S Zaku II Carp Ver.;Mobile Suit Gundam;¥2,778;2019 May;Hiroshima Toyo Carp Official Goods Shop exclusive color variant of HGUC-032. Limited to 3000 units. Released as part of the Gundam 40th anniversary celebration., ;HGUC
HGUC G-Parts -Hrududu-.jpg;FF-X29A G-Parts [Hrududu];Advance of Zeta: The Flag of Titans;¥1,100;2019 May;P-Bandai exclusive accessory kit to convert HGUC-056 into RX-121-1+FF-X29A Gundam TR-1 [Hazel-Rah]. Includes black BA-0 display base. ;HGUC
HGUC G-Parts -Hrududu- (Combat Deployment Colors).jpg;FF-X29A G-Parts [Hrududu] (Combat Deployment Colors);Advance of Zeta: The Flag of Titans;¥1,100;2019 June;P-Bandai exclusive accessory kit to convert HGUC-057 into RX-121-1+FF-X29A Gundam TR-1 [Hazel-Rah] Second Form. Includes black BA-0 display base. ;HGUC
HGCE Freedom Gundam vs Force Impulse Gundam (The Fateful Battle Set) -Metallic-.jpg;Freedom Gundam vs Force Impulse Gundam (The Fateful Battle Set) [Metallic];Mobile Suit Gundam SEED Destiny;¥4,500;2019 July;The Gundam Base Tokyo exclusive twin pack containing metallic color variants of HGCE-192 and HGCE-198., ;HGUC
HGCE Destiny Gundam -Clear Color-.jpg;ZGMF-X42S Destiny Gundam [Clear Color];Mobile Suit Gundam SEED Destiny;¥2,200;2019 July;The Gundam Base Tokyo exclusive clear color variant of HGCE-224., ;HGUC
HGUC Zaku II Tigers Ver.jpg;MS-06S Zaku II Tigers Ver.;Mobile Suit Gundam;¥2,778;2019 July;Hanshin Tigers (Nishinomiya, Hyogo) T-SHOP exclusive color variant of HGUC-032. Limited to 3000 units. Released as part of the Gundam 40th anniversary celebration., ;HGUC
HGUC Gundam (Port of Shimizu 120th Anniversary Color).jpg;RX-78-2 Gundam [Port of Shimizu 120th Anniversary Color];Mobile Suit Gundam;¥1,296;2019 July;Port of Shimizu Kaikousai exclusive clear blue variant of HGUC-021. Released as part of the Gundam 40th anniversary celebration and to celebrate the 120th anniversary of the Port of Shimizu., ;HGUC
HGUC Gustav Karl (Gihren's Greed Ver.).jpg;FD-03 Gustav Karl (Gihren's Greed Ver.);Mobile Suit Gundam Gihren's Greed;¥2,400;2019 July;P-Bandai exclusive parts and color variant of HGUC-221., ;HGUC
HGUC Emergency Escape Pod -Primrose-.jpg;Emergency Escape Pod [Primrose];Advance of Zeta: The Flag of Titans;¥1,300;2019 July;P-Bandai exclusive accessory kit to convert HGUC-056 into RX-121-2 Gundam TR-1 [Hazel Owsla]. ;HGUC
HGAC Maganac (Rashid Abdul Custom).jpg;WMS-03 Maganac (Rasid Custom/Abdul Custom);Mobile Suit Gundam Wing;¥1,600;2019 July;P-Bandai exclusive parts variant of HGAC-223. Includes water slide decal sheet., ;HGUC
HGAC Maganac (Auda Ahmad Custom).jpg;WMS-03 Maganac (Auda Custom/Ahmad Custom);Mobile Suit Gundam Wing;¥1,600;2019 July;P-Bandai exclusive parts variant of HGAC-223. Includes water slide decal sheet., ;HGUC
HGAC Maganac 36 Piece Set.jpg;WMS-03 Maganac 36-Piece Set;Mobile Suit Gundam Wing;¥45,000;2019 August;P-Bandai exclusive boxed set containing 36 units of HGAC-223, with multiple bonus parts to create various variants. Includes water slide decal sheet. Largest Gunpla bundle and most expensive HG release to date., ;HGUC
HGUC Mega Bazooka Launcher (Conroy Use).jpg;Mega Bazooka Launcher (Conroy Use);Mobile Suit Gundam Unicorn;¥1,500;2019 August;P-Bandai exclusive accessory kit for HGUC RGM-89De Conroy's Jegan (ECOAS Type). Color variant of Mega Bazooka Launcher originally from HGUC-048 with additional runner for tripod and power unit parts. Includes water slide decal sheet., ;HGUC
HGUC Dodai Kai.jpg;Do-Dai Kai;Mobile Suit Zeta Gundam;¥1,200;2019 August;P-Bandai exclusive release. Holds up to two 1/144 scale MS kits., ;HGUC
HGUC Gouf Flight Type (21st Century Real Type Ver.).jpg;MS-07H-8 Gouf Flight Type (21st Century Real Type Ver.);Mobile Suit Gundam: The 08th MS Team;¥2,500;2019 August;The Gundam Base Tokyo exclusive color variant of the HGUC MS-07H-8 Gouf Flight Type. Includes a clear display base and water slide decal sheet., ;HGUC
HGUC Pale Rider (Space Type) -Clear Color-.jpg;RX-80PR Pale Rider (Space Type) [Clear Color];Mobile Suit Gundam Side Story: Missing Link;¥2,000;2019 September;Events and The Gundam Base Tokyo exclusive clear color variant of HGUC RX-80PR Pale Rider (Space Type)., ;HGUC
HGUC Moon Gundam -Clear Color-.jpg;AMS-123X-X Moon Gundam [Clear Color];Mobile Suit Moon Gundam;¥3,000;2019 October;BANDAI SPIRITS Plastic model FES in Okinawa exclusive clear color variant of HGUC-215., ;HGUC
HGUC Second V.jpg;Second V;Mobile Suit Victory Gundam (Novel);¥2,000;2019 October;P-Bandai exclusive parts and color variant of HGUC-165. Released as part of the P-Bandai 10th anniversary celebration., ;HGUC
White Base Catapult Deck -Renewal Ver.-.jpg;White Base Catapult Deck [Renewal Edition];Mobile Suit Gundam;¥13,000;2019 October;P-Bandai exclusive parts and color variant of the MegaHouse Realistic Model Series White Base Catapult Deck. Includes water slide decal sheet., ;HGUC
HGUC Gundam TR-6 -Haze'n-thley II-.jpg;RX-124 Gundam TR-6 [Haze'n-thley II];Advance of Zeta: The Flag of Titans;¥4,400;2019 October;P-Bandai exclusive parts and color variant of HGUC RX-124 Gundam TR-6 [Woundwort]. Transforms via parts-swapping., ;HGUC
HGUC Hrududu II Expansion Set.jpg;Hrududu II Expansion Set;Advance of Zeta: The Flag of Titans;¥1,500;2019 October;P-Bandai exclusive accessory kit to convert HGUC RX-124 Gundam TR-6 [Woundwort] into RX-124 Gundam TR-6 [Woundwort-Rah]. [Hrududu II] can be built by including parts from HGUC RX-124 Gundam TR-6 [Hazel II]. ;HGUC
N/A;Kitasan Black Original Strike Freedom Gundam;Mobile Suit Gundam SEED Destiny;N/A;2019 October;JRA exclusive color variant of HGCE-201, offered as a prize for the 150th Tenno Sho (Autumn) Betting Ticket Campaign. Limited to 3 units., ;HGUC
HGUC Narrative Gundam C-Packs -Titanium Finish-.jpg;RX-9/C Narrative Gundam C-Packs [Titanium Finish] ;Mobile Suit Gundam Narrative;¥5,600;2019 November;The Gundam Base Tokyo exclusive metallic color variant of HGUC-222., ;HGUC
HGUC Gundam G06 (Mudrock).jpg;RX-78-6 Gundam G06 (Mudrock);Mobile Suit Gundam: Zeonic Front;¥2,000;2019 November;P-Bandai exclusive release. Includes parts to create RX-78-6 Gundam G06 (Mudrock) (Incomplete). , ;HGUC
HGUC Sinanju Stein (Unicorn Ver.).jpg;MSN-06S Sinanju Stein (Unicorn Ver.);Gundam Unicorn Mobile Suit Variations;¥2,600;2019 December;P-Bandai exclusive parts and color variant of HGUC-217., ;HGUC
HGUC Narrative Gundam B-Packs.jpg;RX-9/B Narrative Gundam B-Packs;Mobile Suit Gundam Narrative;¥3,000;2019 December;The Gundam Base Tokyo exclusive re-release of RX-9 Narrative Gundam from HGUC-218 and P-Bandai exclusive B-Packs Expansion Set., ;HGUC
HGUC Gundam Ver.Georgia.jpg;RX-78-2 Gundam Ver.GEORGIA;Mobile Suit Gundam;N/A;2019 December;Coca-Cola Japan exclusive color variant of HGUC-191, offered as a grand prize for Georgia Coffee's Original Gundam Goods Campaign. Limited to 10,000 units., ;HGUC
