Image; Model; Series; Yen Price; Release Date; Notes;Type
Powered-gm-hguc.jpg;RGM-79 Powered GM;Mobile Suit Gundam 0083: Stardust Memory;¥1,200;2006 August;N/A;HGUC
Hguc-ms-05b-bt.jpg;MS-05B Zaku I (Black Tri-Stars Type);Mobile Suit Variations;¥1,000;2006 August;Color variant of HGUC-064., ;HGUC
Gundam TR-1 Hazel II.jpg;RX-121-2 Gundam TR-1 [Hazel II];Advance of Zeta: The Flag of Titans;¥1,500;2006 September;Parts variant of HGUC-057., ;HGUC
Hguc-ms-14s.jpg;MS-14S Gelgoog (Char Aznable Custom);Mobile Suit Gundam;¥1,500;2006 October;First HGUC kit to incorporate a separate pelvis joint that allows forward and backward hip movement. This feature would later on be used in the HGUC and other HG lines., ;HGUC
Hguc-ms-05l.jpg;MS-05L Zaku I Sniper Type;Harmony of Gundam;¥1,400;2006 November;Parts and color variant of HGUC-064., ;HGUC
Hguc-rgm79fp.jpg;RGM-79FP GM Striker;Harmony of Gundam;¥1,200;2006 December;Uses the D plate runner of HGUC-067., ;HGUC
Hguc-Gaplant-TR-5.jpg;ORX-005 Gaplant TR-5 ‘Hrairoo’;Advance of Zeta: The Flag of Titans;¥2,400;2006 December;Parts and color variant of HGUC-042. Fully transformable kit with minor parts-swapping. Includes display base and Shielder Unit attachment part to combine the Long Blade Rifle with HGUC-056/HGUC-057's Shield Boosters or HGUC-069's shield., ;HGUC
HGUC RGM-79Q GM Quel Boxart.jpg;RGM-79Q GM Quel;Mobile Suit Gundam 0083: Stardust Memory / Advance of Zeta: The Flag of Titans;¥1,200;2007 January;Parts variant of HGUC-069. First HGUC kit to include optionally separate front skirt armor, which would become the standard for later kits., ;HGUC
Hguc-rx-78gp02-mlrs.jpg;RX-78GP02A Gundam GP02A (Type-MLRS);Harmony of Gundam;¥2,200;2007 February;Parts and color variant of HGUC-066. Includes optional parts for RX-78GP02A Gundam Beam Bazooka Type configuration. ;HGUC
Hguc-ms-14a.jpg;MS-14A Gelgoog / MS-14C Gelgoog Cannon;Mobile Suit Gundam / Mobile Suit Variations;¥1,500;2007 March;Color variant of HGUC-070 with additional parts to build either variant, as well as head parts for standard and commander variants., ;HGUC
Hguc-rx79bd-2.jpg;RX-79[G]BD-2 Blue Destiny Unit 2;Mobile Suit Gundam Side Story: The Blue Destiny;¥1,500;2007 April;First HGUC Gundam to use the pelvis swing joint first introduced in HGUC-070., ;HGUC
HGUC MSM-04 Acguy Boxart.jpg;MSM-04 Acguy;Mobile Suit Gundam;¥1,400;2007 April;Includes stub piece to replicate missing right arm in Front Line, episode 9 of ''Mobile Suit Gundam: The 08th MS Team''. ;HGUC
HGUC RX-79 G Gundam Ground Type Boxart.jpg;RX-79[G] Gundam Ground Type;Mobile Suit Gundam: The 08th MS Team;¥1,500;2007 June;Parts and color variant of HGUC-077., ;HGUC
Hguc-rx79bd-1.jpg;RX-79[G]BD-1 Blue Destiny Unit 1;Mobile Suit Gundam Side Story: The Blue Destiny;¥1,500;2007 July;Parts and color variant of HGUC-077., ;HGUC
Hguc-zock.jpg;MSM-10 Zock;Mobile Suit Gundam;¥2,500;2007 July;Includes adapter for Action Base 1., ;HGUC
Hguc-rx79bd-3.jpg;RX-79BD-3 Blue Destiny Unit 3;Mobile Suit Gundam Side Story: The Blue Destiny;¥1,500;2007 July;Parts and color variant of HGUC-077., ;HGUC
083.jpg;MSN-03 Jagd Doga (Gyunei Guss Custom);Mobile Suit Gundam: Char's Counterattack;¥2,200;2007 October;Features gunmetal colored joint parts. Includes effect parts for funnels., ;HGUC
084.jpg;MSN-03 Jagd Doga (Quess Paraya Custom);Mobile Suit Gundam: Char's Counterattack;¥2,200;2007 October;Color variant of HGUC-083 with a different head piece. Beam Assault Rifle replaced with Mega Gatling Gun. Includes effect parts for funnels., ;HGUC
Re-GZ.jpg;RGZ-91 Re-GZ;Mobile Suit Gundam: Char's Counterattack;¥2,800;2008 January;Features gunmetal colored joint parts. Includes Back Weapon System., ;HGUC
Nu-gundam-hg.jpg;RX-93 ν Gundam;Mobile Suit Gundam: Char's Counterattack;¥2,500;2008 March;Features gunmetal colored joint parts. Includes additional Fin Funnel holder to make the RX-93 ν Gundam Double Fin Funnel Type. Released to coincide with the 20th anniversary of ''Char's Counterattack''. ;HGUC
Zaku-ii-fz-hguc.jpg;MS-06FZ Zaku II FZ;Mobile Suit Gundam 0080: War in the Pocket;¥1,200;2008 May;Includes A-type and B-type heads. Hip joints feature a forward swing mechanism to replicate the crash pose in How Many Miles to the Battlefield?, episode 1 of the OVA. ;HGUC
Sazabi-hg.jpg;MSN-04 Sazabi;Mobile Suit Gundam: Char's Counterattack;¥2,800;2008 June;Features gunmetal colored joint parts., ;HGUC
MS-14E.jpg;MS-18E Kämpfer;Mobile Suit Gundam 0080: War in the Pocket;¥1,800;2008 August;N/A;HGUC
Hguc-ms-09r2-colony.jpg;MS-09RII Rick Dom II (Colony Attack Colors);Mobile Suit Gundam 0080: War in the Pocket;¥1,500;2008 August;Color variant of HGUC-043., ;HGUC
Hguc-ams119-rezin.jpg;AMS-119 Geara Doga (Rezin Schnyder Custom);Mobile Suit Gundam: Char's Counterattack;¥1,800;2009 January;Color variant of HGUC-091. Includes beam sword effect part and different beam machine gun., ;HGUC
Srwhotnews hg nuhwsbox.jpg;ν Gundam HWS;Char's Counterattack Mobile Suit Variations;¥2,800;2009 April;Re-release of HGUC-086 with additional armor and weapons., ;HGUC
Rms-0099b-hguc.jpeg;RMS-099B Schuzrum Dias;Mobile Suit Gundam ZZ;¥1,700;2009 April;Parts and color variant of HGUC-010. Includes marking sheet with Zeon, A.E.U.G., and EFSF markings., ;HGUC
Hinu-hguc.jpg;RX-93-ν2 Hi-ν Gundam;Mobile Suit Gundam: Char's Counterattack - Beltorchika's Children;¥2,200;2009 June;Design is more closely related to the 2007 MG redesign than the original lineart. Features gunmetal colored joint and weapon parts. Unlike its MG counterparts, only two of its six Fin Funnels are functional., ;HGUC
Hguc-rms-119.jpg;RMS-119 EWAC Zack;Mobile Suit Gundam ZZ;¥1,600;2009 June;Parts and color variant of HGUC-012. Incorporates HGUC-091's monoeye switch gimmick. Later reissues of this kit have the pelvis piece B7 molded with a rectangular hole to accommodate an Action Base 2., ;HGUC
097.jpg;RGM-89 Jegan;Mobile Suit Gundam: Char's Counterattack;¥1,500;2009 August;N/A;HGUC
